id;kecamatan_id;nama;kodepos;;
175;19;cijengkol;42398;;['id'=>'175','kecamatan_id'=>'19','nama'=>'cijengkol','kodepos'=>'42398'],
176;19;cikamunding;42398;;['id'=>'176','kecamatan_id'=>'19','nama'=>'cikamunding','kodepos'=>'42398'],
177;19;cikatomas;42398;;['id'=>'177','kecamatan_id'=>'19','nama'=>'cikatomas','kodepos'=>'42398'],
178;19;cilograng;42398;;['id'=>'178','kecamatan_id'=>'19','nama'=>'cilograng','kodepos'=>'42398'],
179;19;cireundeu;42398;;['id'=>'179','kecamatan_id'=>'19','nama'=>'cireundeu','kodepos'=>'42398'],
180;19;girimukti;42398;;['id'=>'180','kecamatan_id'=>'19','nama'=>'girimukti','kodepos'=>'42398'],
181;19;gunungbatu;42398;;['id'=>'181','kecamatan_id'=>'19','nama'=>'gunungbatu','kodepos'=>'42398'],
182;19;lebaktipar;42398;;['id'=>'182','kecamatan_id'=>'19','nama'=>'lebaktipar','kodepos'=>'42398'],
183;19;pasirbungur;42398;;['id'=>'183','kecamatan_id'=>'19','nama'=>'pasirbungur','kodepos'=>'42398'],
184;20;cimarga;42361;;['id'=>'184','kecamatan_id'=>'20','nama'=>'cimarga','kodepos'=>'42361'],
185;20;girimukti;42361;;['id'=>'185','kecamatan_id'=>'20','nama'=>'girimukti','kodepos'=>'42361'],
186;20;gunung anten;42361;;['id'=>'186','kecamatan_id'=>'20','nama'=>'gunung anten','kodepos'=>'42361'],
187;20;inten jaya;42361;;['id'=>'187','kecamatan_id'=>'20','nama'=>'inten jaya','kodepos'=>'42361'],
188;20;jayamanik;42361;;['id'=>'188','kecamatan_id'=>'20','nama'=>'jayamanik','kodepos'=>'42361'],
189;20;jayasari;42361;;['id'=>'189','kecamatan_id'=>'20','nama'=>'jayasari','kodepos'=>'42361'],
190;20;karya jaya;42361;;['id'=>'190','kecamatan_id'=>'20','nama'=>'karya jaya','kodepos'=>'42361'],
191;20;marga jaya;42361;;['id'=>'191','kecamatan_id'=>'20','nama'=>'marga jaya','kodepos'=>'42361'],
192;20;margaluyu;42361;;['id'=>'192','kecamatan_id'=>'20','nama'=>'margaluyu','kodepos'=>'42361'],
193;20;margatirta;42361;;['id'=>'193','kecamatan_id'=>'20','nama'=>'margatirta','kodepos'=>'42361'],
194;20;mekar jaya;42361;;['id'=>'194','kecamatan_id'=>'20','nama'=>'mekar jaya','kodepos'=>'42361'],
195;20;mekarmulya;42361;;['id'=>'195','kecamatan_id'=>'20','nama'=>'mekarmulya','kodepos'=>'42361'],
196;20;sangiang jaya;42361;;['id'=>'196','kecamatan_id'=>'20','nama'=>'sangiang jaya','kodepos'=>'42361'],
197;20;sangkan manik;42361;;['id'=>'197','kecamatan_id'=>'20','nama'=>'sangkan manik','kodepos'=>'42361'],
198;20;sarageni;42361;;['id'=>'198','kecamatan_id'=>'20','nama'=>'sarageni','kodepos'=>'42361'],
199;20;sudamanik;42361;;['id'=>'199','kecamatan_id'=>'20','nama'=>'sudamanik','kodepos'=>'42361'],
200;20;tambak;42361;;['id'=>'200','kecamatan_id'=>'20','nama'=>'tambak','kodepos'=>'42361'],
201;21;bintangresmi;42372;;['id'=>'201','kecamatan_id'=>'21','nama'=>'bintangresmi','kodepos'=>'42372'],
202;21;bintangsari;42372;;['id'=>'202','kecamatan_id'=>'21','nama'=>'bintangsari','kodepos'=>'42372'],
203;21;cipanas;42372;;['id'=>'203','kecamatan_id'=>'21','nama'=>'cipanas','kodepos'=>'42372'],
204;21;giriharja;42372;;['id'=>'204','kecamatan_id'=>'21','nama'=>'giriharja','kodepos'=>'42372'],
205;21;girilaya;42372;;['id'=>'205','kecamatan_id'=>'21','nama'=>'girilaya','kodepos'=>'42372'],
206;21;harumsari;42372;;['id'=>'206','kecamatan_id'=>'21','nama'=>'harumsari','kodepos'=>'42372'],
207;21;haurgajrug;42372;;['id'=>'207','kecamatan_id'=>'21','nama'=>'haurgajrug','kodepos'=>'42372'],
208;21;jayapura;42372;;['id'=>'208','kecamatan_id'=>'21','nama'=>'jayapura','kodepos'=>'42372'],
209;21;luhurjaya;42372;;['id'=>'209','kecamatan_id'=>'21','nama'=>'luhurjaya','kodepos'=>'42372'],
210;21;malangsari;42372;;['id'=>'210','kecamatan_id'=>'21','nama'=>'malangsari','kodepos'=>'42372'],
211;21;pasirhaur;42372;;['id'=>'211','kecamatan_id'=>'21','nama'=>'pasirhaur','kodepos'=>'42372'],
212;21;sipayung;42372;;['id'=>'212','kecamatan_id'=>'21','nama'=>'sipayung','kodepos'=>'42372'],
213;21;sukasari;42372;;['id'=>'213','kecamatan_id'=>'21','nama'=>'sukasari','kodepos'=>'42372'],
214;21;talagahiang;42372;;['id'=>'214','kecamatan_id'=>'21','nama'=>'talagahiang','kodepos'=>'42372'],
215;22;badur;42365;;['id'=>'215','kecamatan_id'=>'22','nama'=>'badur','kodepos'=>'42365'],
216;22;cempaka;42365;;['id'=>'216','kecamatan_id'=>'22','nama'=>'cempaka','kodepos'=>'42365'],
217;22;cibarani;42365;;['id'=>'217','kecamatan_id'=>'22','nama'=>'cibarani','kodepos'=>'42365'],
218;22;cirinten;42365;;['id'=>'218','kecamatan_id'=>'22','nama'=>'cirinten','kodepos'=>'42365'],
219;22;datarcae;42365;;['id'=>'219','kecamatan_id'=>'22','nama'=>'datarcae','kodepos'=>'42365'],
220;22;kadudamas;42365;;['id'=>'220','kecamatan_id'=>'22','nama'=>'kadudamas','kodepos'=>'42365'],
221;22;karangnunggal;42365;;['id'=>'221','kecamatan_id'=>'22','nama'=>'karangnunggal','kodepos'=>'42365'],
222;22;karoya;42365;;['id'=>'222','kecamatan_id'=>'22','nama'=>'karoya','kodepos'=>'42365'],
223;22;nanggerang;42365;;['id'=>'223','kecamatan_id'=>'22','nama'=>'nanggerang','kodepos'=>'42365'],
224;22;parakanlima;42365;;['id'=>'224','kecamatan_id'=>'22','nama'=>'parakanlima','kodepos'=>'42365'],
225;23;candi;42381;;['id'=>'225','kecamatan_id'=>'23','nama'=>'candi','kodepos'=>'42381'],
226;23;ciburuy;42381;;['id'=>'226','kecamatan_id'=>'23','nama'=>'ciburuy','kodepos'=>'42381'],
227;23;cidadap;42381;;['id'=>'227','kecamatan_id'=>'23','nama'=>'cidadap','kodepos'=>'42381'],
228;23;cilayang;42381;;['id'=>'228','kecamatan_id'=>'23','nama'=>'cilayang','kodepos'=>'42381'],
229;23;cipining;42381;;['id'=>'229','kecamatan_id'=>'23','nama'=>'cipining','kodepos'=>'42381'],
230;23;curugbitung;42381;;['id'=>'230','kecamatan_id'=>'23','nama'=>'curugbitung','kodepos'=>'42381'],
231;23;guradog;42381;;['id'=>'231','kecamatan_id'=>'23','nama'=>'guradog','kodepos'=>'42381'],
232;23;lebakasih;42381;;['id'=>'232','kecamatan_id'=>'23','nama'=>'lebakasih','kodepos'=>'42381'],
